protocol_id,protocol_name,dataset,dataset_type,source_path,model_version,training_scope,description,risk_bonus,threshold,n_samples,n_normal,n_spam,accuracy,precision_spam,recall_spam,f1_spam,macro_f1,weighted_f1,balanced_accuracy,false_positive_rate,true_negative,false_positive,false_negative,true_positive,roc_auc,pr_auc,recall_at_precision_90,recall_at_precision_95
B,Zero-shot cross-domain,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v0_char_logreg,main_only,字符级 TF-IDF + Logistic Regression,0.0,0.5,5412,3258,2154,0.7372505543237251,0.9841269841269841,0.34540389972144847,0.511340206185567,0.6658293146166652,0.6973437225449602,0.6708603292345732,0.003683241252302026,3246.0,12.0,1410.0,744.0,0.9075195519008135,0.8884741543086454,0.6810584958217271,0.5575673166202414
B,Zero-shot cross-domain,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v1_char_svm,main_only,字符级 TF-IDF + Linear SVM,0.0,0.0,5412,3258,2154,0.7309682187730968,0.9833795013850416,0.329619312906221,0.4937413073713491,0.6552752837812961,0.6882267822950768,0.6629680358269595,0.003683241252302026,3246.0,12.0,1444.0,710.0,0.8895936749935733,0.8793899880547311,0.6754874651810585,0.5877437325905293
B,Zero-shot cross-domain,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v2_csn_svm,main_only,CSN 归一化 + Linear SVM,0.0,0.0,5412,3258,2154,0.729120473022912,0.9831460674157303,0.32497678737233054,0.4884856943475227,0.6521342771813009,0.6855171366507191,0.6606467730600143,0.003683241252302026,3246.0,12.0,1454.0,700.0,0.8891485169282611,0.8786033498921958,0.6745589600742804,0.5844939647168059
B,Zero-shot cross-domain,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v3_csn_aug,main_only,CSN 归一化 + 关键词增强,0.0,0.0,5412,3258,2154,0.7440872135994088,0.977639751552795,0.36536675951717734,0.5319364650219669,0.6779199171899408,0.7076992466787516,0.6799209488193622,0.0055248618784530384,3240.0,18.0,1367.0,787.0,0.8936355791301235,0.8828195657795339,0.6866295264623955,0.5561745589600743
B,Zero-shot cross-domain,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v4_bad_case,main_only,v3 + bad-case 风险分数 + 固定阈值,0.1,0.35,5412,3258,2154,0.684220251293422,0.989010989010989,0.20891364902506965,0.34495975469528556,0.5684628353512946,0.6140554815161569,0.6036894825849719,0.001534683855125844,3253.0,5.0,1704.0,450.0,0.9048069233763842,0.8913709249327411,0.7005571030640668,0.5868152274837511
B,Zero-shot cross-domain,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v5_main_fusion,main_only,主数据 v5 max-score 分数融合,0.4,0.4,5412,3258,2154,0.7150776053215078,0.9935483870967742,0.28597957288765086,0.4441240086517664,0.6262856068103553,0.6634449572107769,0.6423759129017751,0.0012277470841006752,3254.0,4.0,1538.0,616.0,0.9246425340836613,0.9111117948228534,0.7205199628597957,0.6332404828226555
C,Few-shot domain adaptation,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v3_csn_aug,main_only,CSN 归一化 + 关键词增强,0.0,0.0,5412,3258,2154,0.7440872135994088,0.977639751552795,0.36536675951717734,0.5319364650219669,0.6779199171899408,0.7076992466787516,0.6799209488193622,0.0055248618784530384,3240.0,18.0,1367.0,787.0,0.8936355791301235,0.8828195657795339,0.6866295264623955,0.5561745589600743
C,Few-shot domain adaptation,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v5_main_fusion,main_only,主数据 v5 max-score 分数融合,0.4,0.4,5412,3258,2154,0.7150776053215078,0.9935483870967742,0.28597957288765086,0.4441240086517664,0.6262856068103553,0.6634449572107769,0.6423759129017751,0.0012277470841006752,3254.0,4.0,1538.0,616.0,0.9246425340836613,0.9111117948228534,0.7205199628597957,0.6332404828226555
C,Few-shot domain adaptation,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v6_csn_multisource,main_plus_external_adapt,多来源训练 CSN 关键词增强,0.0,0.0,5412,3258,2154,0.9595343680709535,0.9531615925058547,0.9447539461467038,0.9489391466542317,0.9577136437173224,0.9595035632956027,0.9570301345220935,0.030693677102516883,3158.0,100.0,119.0,2035.0,0.9915997077118364,0.9854926349668248,0.9753946146703807,0.9489322191272052
C,Few-shot domain adaptation,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v6_fusion_multisource,main_plus_external_adapt,多来源训练 max-score 分数融合,0.3,0.15,5412,3258,2154,0.9586104951958611,0.966183574879227,0.9285051067780873,0.946969696969697,0.9565151515151515,0.9584623395820736,0.9535097664031628,0.021485573971761818,3188.0,70.0,154.0,2000.0,0.9918550608658182,0.9861752347941343,0.9763231197771588,0.9489322191272052
C,Few-shot domain adaptation,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v7_bridge,main_plus_external_adapt,v5 主数据模型与 v6 多来源模型桥接,0.0,0.35,5412,3258,2154,0.9478935698447893,0.9760935910478128,0.8909006499535748,0.9315533980582524,0.9447444794587205,0.9474353430703458,0.9382373108576959,0.014426028238182934,3211.0,47.0,235.0,1919.0,0.9915206223321152,0.9856195337148198,0.9758588672237697,0.9484679665738162
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v0_char_logreg,main_only,字符级 TF-IDF + Logistic Regression,0.0,0.5,131,0,131,0.9923664122137404,1.0,0.9923664122137404,0.9961685823754789,0.49808429118773945,0.9961685823754788,0.9923664122137404,0.0,0.0,0.0,1.0,130.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v1_char_svm,main_only,字符级 TF-IDF + Linear SVM,0.0,0.0,131,0,131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v2_csn_svm,main_only,CSN 归一化 + Linear SVM,0.0,0.0,131,0,131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v3_csn_aug,main_only,CSN 归一化 + 关键词增强,0.0,0.0,131,0,131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v4_bad_case,main_only,v3 + bad-case 风险分数 + 固定阈值,0.1,0.35,131,0,131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v5_main_fusion,main_only,主数据 v5 max-score 分数融合,0.4,0.4,131,0,131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v6_csn_multisource,main_plus_external_adapt,多来源训练 CSN 关键词增强,0.0,0.0,131,0,131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v6_fusion_multisource,main_plus_external_adapt,多来源训练 max-score 分数融合,0.3,0.15,131,0,131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,,,,
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v7_bridge,main_plus_external_adapt,v5 主数据模型与 v6 多来源模型桥接,0.0,0.35,131,0,131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,,,,
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v0_char_logreg,main_only,字符级 TF-IDF + Logistic Regression,0.0,0.5,270,0,270,0.14444444444444443,1.0,0.14444444444444443,0.2524271844660194,0.1262135922330097,0.2524271844660194,0.14444444444444443,0.0,0.0,0.0,231.0,39.0,,,,
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v1_char_svm,main_only,字符级 TF-IDF + Linear SVM,0.0,0.0,270,0,270,0.06666666666666667,1.0,0.06666666666666667,0.125,0.0625,0.125,0.06666666666666667,0.0,0.0,0.0,252.0,18.0,,,,
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v2_csn_svm,main_only,CSN 归一化 + Linear SVM,0.0,0.0,270,0,270,0.1037037037037037,1.0,0.1037037037037037,0.18791946308724833,0.09395973154362416,0.18791946308724833,0.1037037037037037,0.0,0.0,0.0,242.0,28.0,,,,
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v3_csn_aug,main_only,CSN 归一化 + 关键词增强,0.0,0.0,270,0,270,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,270.0,,,,
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v4_bad_case,main_only,v3 + bad-case 风险分数 + 固定阈值,0.1,0.35,270,0,270,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,270.0,,,,
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v5_main_fusion,main_only,主数据 v5 max-score 分数融合,0.4,0.4,270,0,270,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,270.0,,,,
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v6_csn_multisource,main_plus_external_adapt,多来源训练 CSN 关键词增强,0.0,0.0,270,0,270,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,270.0,,,,
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v6_fusion_multisource,main_plus_external_adapt,多来源训练 max-score 分数融合,0.3,0.15,270,0,270,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,270.0,,,,
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v7_bridge,main_plus_external_adapt,v5 主数据模型与 v6 多来源模型桥接,0.0,0.35,270,0,270,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,270.0,,,,
