risk_bonus,threshold,accuracy,precision_spam,recall_spam,f1_spam,macro_f1,weighted_f1,balanced_accuracy,false_positive_rate,true_negative,false_positive,false_negative,true_positive,roc_auc,pr_auc,recall_at_precision_90,recall_at_precision_95,split
0.0,-0.2,0.9689285714285715,0.7700831024930748,0.9858156028368794,0.864696734059098,0.9235728979958593,0.9705897203396442,0.9764264670260647,0.0329626687847498,2435.0,83.0,4.0,278.0,0.9954286583407974,0.9859784220886751,0.9822695035460993,0.9645390070921985,validation
0.0,-0.15,0.9735714285714285,0.7988505747126436,0.9858156028368794,0.8825396825396825,0.933825173261793,0.9747803008527355,0.9790078808465572,0.02779984114376489,2448.0,70.0,4.0,278.0,0.9954286583407974,0.9859784220886751,0.9822695035460993,0.9645390070921985,validation
0.0,-0.1,0.9775,0.8249258160237388,0.9858156028368794,0.8982229402261712,0.9427874387940733,0.9783753740790124,0.9811921540792816,0.023431294678316124,2459.0,59.0,4.0,278.0,0.9954286583407974,0.9859784220886751,0.9822695035460993,0.9645390070921985,validation
0.0,-0.05,0.9807142857142858,0.8496932515337423,0.9822695035460993,0.9111842105263158,0.950183451417004,0.9813271309282823,0.981404807372732,0.019459888800635424,2469.0,49.0,5.0,277.0,0.9954286583407974,0.9859784220886751,0.9822695035460993,0.9645390070921985,validation
0.0,0.0,0.985,0.8821656050955414,0.9822695035460993,0.9295302013422819,0.9605684579852897,0.985354722933063,0.9837876508993404,0.014694201747418586,2481.0,37.0,5.0,277.0,0.9954286583407974,0.9859784220886751,0.9822695035460993,0.9645390070921985,validation
0.0,0.05,0.9871428571428571,0.8993506493506493,0.9822695035460993,0.9389830508474576,0.9658987110524713,0.9873927882733323,0.9849790726626446,0.012311358220810167,2487.0,31.0,5.0,277.0,0.9954286583407974,0.9859784220886751,0.9822695035460993,0.9645390070921985,validation
0.0,0.1,0.9885714285714285,0.9111842105263158,0.9822695035460993,0.9453924914675768,0.9695051807158386,0.988760885415522,0.9857733538381808,0.010722795869737888,2491.0,27.0,5.0,277.0,0.9954286583407974,0.9859784220886751,0.9822695035460993,0.9645390070921985,validation
0.0,0.15,0.9903571428571428,0.9292929292929293,0.9787234042553191,0.9533678756476683,0.9739952303950351,0.9904676465432893,0.9851917259560948,0.008339952343129467,2497.0,21.0,6.0,276.0,0.9954286583407974,0.9859784220886751,0.9822695035460993,0.9645390070921985,validation
0.0,0.2,0.9907142857142858,0.9413793103448276,0.9680851063829787,0.9545454545454546,0.9746872061907861,0.9907718335761293,0.9806668581954607,0.006751389992057188,2501.0,17.0,9.0,273.0,0.9954286583407974,0.9859784220886751,0.9822695035460993,0.9645390070921985,validation
0.0,0.25,0.9914285714285714,0.951048951048951,0.9645390070921985,0.9577464788732394,0.9764885017577644,0.9914553457469778,0.9794895194317228,0.005559968228752979,2504.0,14.0,10.0,272.0,0.9954286583407974,0.9859784220886751,0.9822695035460993,0.9645390070921985,validation
