name,description,analyzer,classifier,augment_keywords,clean_accuracy,clean_precision_spam,clean_recall_spam,clean_f1_spam,clean_macro_f1,clean_weighted_f1,clean_balanced_accuracy,clean_false_positive_rate,clean_true_negative,clean_false_positive,clean_false_negative,clean_true_positive,clean_roc_auc,clean_pr_auc,clean_recall_at_precision_90,clean_recall_at_precision_95,adv_accuracy,adv_precision_spam,adv_recall_spam,adv_f1_spam,adv_macro_f1,adv_weighted_f1,adv_balanced_accuracy,adv_false_positive_rate,adv_true_negative,adv_false_positive,adv_false_negative,adv_true_positive
char_csn_aug_tfidf_linear_svm,字符相似性归一化 + 关键词增强 + 字符级 TF-IDF + Linear SVM,char_csn,linear_svm,True,0.9835,0.87518573551263,0.9751655629139073,0.9224745497259201,0.9566210294092624,0.9838926845163584,0.9797992380914977,0.015567086730911787,5312.0,84.0,15.0,589.0,0.9982299250364508,0.9879501416331138,0.9685430463576159,0.945364238410596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,270.0
char_csn_aug_tfidf_logreg,字符相似性归一化 + 关键词增强 + 字符级 TF-IDF + Logistic Regression,char_csn,logreg,True,0.9741666666666666,0.8105117565698479,0.9701986754966887,0.8831951770911831,0.9343362749505386,0.9751809651075438,0.9724047491642079,0.025389177168272794,5259.0,137.0,18.0,586.0,0.9963855983583622,0.9747940899778005,0.956953642384106,0.8874172185430463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,270.0
char_csn_tfidf_logreg,字符相似性归一化 + 字符级 TF-IDF(1-3gram) + Logistic Regression,char_csn,logreg,False,0.9773333333333334,0.8323863636363636,0.9701986754966887,0.8960244648318043,0.9416523371671179,0.9780937978722551,0.9741653125444896,0.021868050407709415,5278.0,118.0,18.0,586.0,0.9967338450360581,0.9770242355736466,0.9602649006622517,0.8857615894039735,0.1814814814814815,1.0,0.1814814814814815,0.3072100313479624,0.1536050156739812,0.3072100313479624,0.1814814814814815,0.0,0.0,0.0,221.0,49.0
char_tfidf_logreg,字符级 TF-IDF(1-3gram) + Logistic Regression,char,logreg,False,0.9773333333333334,0.8323863636363636,0.9701986754966887,0.8960244648318043,0.9416523371671179,0.9780937978722551,0.9741653125444896,0.021868050407709415,5278.0,118.0,18.0,586.0,0.996732004084458,0.9769815584059013,0.9602649006622517,0.8857615894039735,0.14444444444444443,1.0,0.14444444444444443,0.2524271844660194,0.1262135922330097,0.2524271844660194,0.14444444444444443,0.0,0.0,0.0,231.0,39.0
char_csn_tfidf_linear_svm,字符相似性归一化 + 字符级 TF-IDF(1-3gram) + Linear SVM,char_csn,linear_svm,False,0.987,0.9021406727828746,0.9768211920529801,0.9379968203497615,0.9653678013497085,0.9872280915083329,0.982480277271857,0.011860637509266123,5332.0,64.0,14.0,590.0,0.9985609894992121,0.989987315945623,0.9768211920529801,0.9552980132450332,0.1037037037037037,1.0,0.1037037037037037,0.18791946308724833,0.09395973154362416,0.18791946308724833,0.1037037037037037,0.0,0.0,0.0,242.0,28.0
char_tfidf_linear_svm,字符级 TF-IDF(1-3gram) + Linear SVM,char,linear_svm,False,0.987,0.9021406727828746,0.9768211920529801,0.9379968203497615,0.9653678013497085,0.9872280915083329,0.982480277271857,0.011860637509266123,5332.0,64.0,14.0,590.0,0.9985609894992121,0.9900016104716218,0.9768211920529801,0.9552980132450332,0.06666666666666667,1.0,0.06666666666666667,0.125,0.0625,0.125,0.06666666666666667,0.0,0.0,0.0,252.0,18.0
