name,description,analyzer,classifier,confusion_matrix,accuracy,precision_spam,recall_spam,f1_spam,macro_f1,weighted_f1,balanced_accuracy,false_positive_rate,true_negative,false_positive,false_negative,true_positive,roc_auc,pr_auc,recall_at_precision_90,recall_at_precision_95
char_tfidf_linear_svm,字符级 TF-IDF(1-3gram) + Linear SVM,char,linear_svm,"[[5332, 64], [14, 590]]",0.987,0.9021406727828746,0.9768211920529801,0.9379968203497615,0.9653678013497085,0.9872280915083329,0.982480277271857,0.011860637509266123,5332.0,64.0,14.0,590.0,0.9985609894992121,0.9900016104716218,0.9768211920529801,0.9552980132450332
word_tfidf_linear_svm,词级 TF-IDF(1-2gram) + Linear SVM,word,linear_svm,"[[5324, 72], [24, 580]]",0.984,0.8895705521472392,0.9602649006622517,0.9235668789808917,0.9573158296617043,0.9842699916054465,0.9734608417321636,0.013343217197924388,5324.0,72.0,24.0,580.0,0.9938033569138778,0.9753780575957038,0.9536423841059603,0.9039735099337748
char_tfidf_logreg,字符级 TF-IDF(1-3gram) + Logistic Regression,char,logreg,"[[5278, 118], [18, 586]]",0.9773333333333334,0.8323863636363636,0.9701986754966887,0.8960244648318043,0.9416523371671179,0.9780937978722551,0.9741653125444896,0.021868050407709415,5278.0,118.0,18.0,586.0,0.996732004084458,0.9769815584059013,0.9602649006622517,0.8857615894039735
word_tfidf_logreg,词级 TF-IDF(1-2gram) + Logistic Regression,word,logreg,"[[5258, 138], [27, 577]]",0.9725,0.806993006993007,0.9552980132450332,0.8749052312357847,0.9297286197373569,0.9735142326872791,0.964861756807839,0.02557449962935508,5258.0,138.0,27.0,577.0,0.9912183540419933,0.9474672145672932,0.8940397350993378,0.7086092715231788
