name,description,risk_bonus,threshold,clean_accuracy,clean_precision_spam,clean_recall_spam,clean_f1_spam,clean_macro_f1,clean_weighted_f1,clean_balanced_accuracy,clean_false_positive_rate,clean_true_negative,clean_false_positive,clean_false_negative,clean_true_positive,clean_roc_auc,clean_pr_auc,clean_recall_at_precision_90,clean_recall_at_precision_95,adv_accuracy,adv_precision_spam,adv_recall_spam,adv_f1_spam,adv_macro_f1,adv_weighted_f1,adv_balanced_accuracy,adv_false_positive_rate,adv_true_negative,adv_false_positive,adv_false_negative,adv_true_positive
v1_strong_baseline_default,字符级 TF-IDF + Linear SVM，默认阈值,0.0,0.0,0.987,0.9021406727828746,0.9768211920529801,0.9379968203497615,0.9653678013497085,0.9872280915083329,0.982480277271857,0.011860637509266123,5332.0,64.0,14.0,590.0,0.9985609894992121,0.9900016104716218,0.9768211920529801,0.9552980132450332,0.06666666666666667,1.0,0.06666666666666667,0.125,0.0625,0.125,0.06666666666666667,0.0,0.0,0.0,252.0,18.0
v3_csn_aug_default,CSN 归一化 + 关键词增强，默认阈值,0.0,0.0,0.9835,0.87518573551263,0.9751655629139073,0.9224745497259201,0.9566210294092624,0.9838926845163584,0.9797992380914977,0.015567086730911787,5312.0,84.0,15.0,589.0,0.9982299250364508,0.9879501416331138,0.9685430463576159,0.945364238410596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,270.0
v4_bad_case_valid_tuned,CSN 关键词增强 + bad-case 风险分数 + 验证集阈值调优,0.1,0.35,0.9901666666666666,0.9534109816971714,0.9486754966887417,0.9510373443983402,0.9727859255572062,0.9901557923760873,0.9717432338892189,0.005189028910303929,5368.0,28.0,31.0,573.0,0.9986711397699546,0.989980543534922,0.9784768211920529,0.9486754966887417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,270.0
v5_max_score_fusion,"max(v1 分数, v3 分数) + bad-case 风险分数",0.4,0.4,0.9916666666666667,0.9555921052631579,0.9619205298013245,0.9587458745874587,0.9770555476014787,0.9916788731153428,0.9784584116760514,0.005003706449221645,5369.0,27.0,23.0,581.0,0.9988776331744388,0.9910299067836204,0.9817880794701986,0.9619205298013245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,270.0
