protocol_id,dataset,model_version,training_scope,precision,recall,threshold
A,main_holdout,v8_semantic_main,main_only,0.10066666666666667,1.0,4.275094701551133e-05
A,main_holdout,v8_semantic_main,main_only,0.1008347245409015,1.0,0.00011535554082977487
A,main_holdout,v8_semantic_main,main_only,0.10100334448160535,1.0,0.00016327105741271072
A,main_holdout,v8_semantic_main,main_only,0.10117252931323283,1.0,0.00018833919822310095
A,main_holdout,v8_semantic_main,main_only,0.10134228187919463,1.0,0.00021140526412345877
A,main_holdout,v8_semantic_main,main_only,0.10151260504201681,1.0,0.0002438995450197943
A,main_holdout,v8_semantic_main,main_only,0.10168350168350168,1.0,0.00027598973345855667
A,main_holdout,v8_semantic_main,main_only,0.10185497470489038,1.0,0.00029759554523897474
A,main_holdout,v8_semantic_main,main_only,0.10202702702702703,1.0,0.00031864211670549835
A,main_holdout,v8_semantic_main,main_only,0.10219966159052453,1.0,0.0003422951163805693
A,main_holdout,v8_semantic_main,main_only,0.1023728813559322,1.0,0.0003647500477725264
A,main_holdout,v8_semantic_main,main_only,0.10254668930390493,1.0,0.0003881332805163804
A,main_holdout,v8_semantic_main,main_only,0.10272108843537416,1.0,0.000406548138304886
A,main_holdout,v8_semantic_main,main_only,0.10289608177172062,1.0,0.00042546241054749334
A,main_holdout,v8_semantic_main,main_only,0.10307167235494881,1.0,0.0004551001879851878
A,main_holdout,v8_semantic_main,main_only,0.10324786324786325,1.0,0.00047219901171997603
A,main_holdout,v8_semantic_main,main_only,0.10342465753424658,1.0,0.00048644948649734373
A,main_holdout,v8_semantic_main,main_only,0.10360205831903944,1.0,0.0005017411789176947
A,main_holdout,v8_semantic_main,main_only,0.10378006872852234,1.0,0.0005142390073129126
A,main_holdout,v8_semantic_main,main_only,0.10395869191049914,1.0,0.0005378182701807127
A,main_holdout,v8_semantic_main,main_only,0.10413793103448275,1.0,0.000563604289049003
A,main_holdout,v8_semantic_main,main_only,0.10431778929188255,1.0,0.0005856218966677741
A,main_holdout,v8_semantic_main,main_only,0.10449826989619378,1.0,0.0006072126365456747
A,main_holdout,v8_semantic_main,main_only,0.1046793760831889,1.0,0.0006268896887884482
A,main_holdout,v8_semantic_main,main_only,0.10486111111111111,1.0,0.0006475531861664161
A,main_holdout,v8_semantic_main,main_only,0.10504347826086957,1.0,0.0006705340662810235
A,main_holdout,v8_semantic_main,main_only,0.10522648083623694,1.0,0.0006787428244042547
A,main_holdout,v8_semantic_main,main_only,0.10541012216404887,1.0,0.0006969035837205445
A,main_holdout,v8_semantic_main,main_only,0.1055944055944056,1.0,0.0007122413989420729
A,main_holdout,v8_semantic_main,main_only,0.10577933450087566,1.0,0.0007404551703642983
A,main_holdout,v8_semantic_main,main_only,0.10596491228070175,1.0,0.0007711142639059202
A,main_holdout,v8_semantic_main,main_only,0.10615114235500879,1.0,0.0007877189791603254
A,main_holdout,v8_semantic_main,main_only,0.10633802816901408,1.0,0.0007984107367016305
A,main_holdout,v8_semantic_main,main_only,0.10652557319223986,1.0,0.0008111367269160725
A,main_holdout,v8_semantic_main,main_only,0.10671378091872792,1.0,0.000830368023318441
