protocol_id,dataset,model_version,training_scope,risk_bonus,threshold,accuracy,precision_spam,recall_spam,f1_spam,macro_f1,weighted_f1,balanced_accuracy,false_positive_rate,true_negative,false_positive,false_negative,true_positive,roc_auc,pr_auc,recall_at_precision_90,recall_at_precision_95
A,main_holdout,v8_semantic_main,main_only,0.0,-0.2,0.10066666666666667,0.10066666666666667,1.0,0.18291944276196245,0.09145972138098123,0.018413890571370887,0.5,1.0,0.0,5396.0,0.0,604.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,-0.15,0.10066666666666667,0.10066666666666667,1.0,0.18291944276196245,0.09145972138098123,0.018413890571370887,0.5,1.0,0.0,5396.0,0.0,604.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,-0.1,0.10066666666666667,0.10066666666666667,1.0,0.18291944276196245,0.09145972138098123,0.018413890571370887,0.5,1.0,0.0,5396.0,0.0,604.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,-0.05,0.10066666666666667,0.10066666666666667,1.0,0.18291944276196245,0.09145972138098123,0.018413890571370887,0.5,1.0,0.0,5396.0,0.0,604.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.0,0.10066666666666667,0.10066666666666667,1.0,0.18291944276196245,0.09145972138098123,0.018413890571370887,0.5,1.0,0.0,5396.0,0.0,604.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.05,0.8231666666666667,0.36259771497294047,0.9983443708609272,0.5319805910895457,0.7114850042676744,0.8548491955926064,0.9009512810568535,0.19644180874722017,4336.0,1060.0,1.0,603.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.1,0.901,0.5041876046901173,0.9966887417218543,0.6696329254727474,0.8057045239008513,0.9143803738454301,0.9434889223805714,0.10971089696071164,4804.0,592.0,2.0,602.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.15,0.9323333333333333,0.599,0.9917218543046358,0.7468827930174564,0.8539146554544765,0.9393974362541767,0.9587037737053201,0.07431430689399555,4995.0,401.0,5.0,599.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.2,0.949,0.6659242761692651,0.9900662251655629,0.796271637816245,0.8835616142977205,0.9532772088475922,0.9672347434204389,0.05559673832468495,5096.0,300.0,6.0,598.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.25,0.96,0.71875,0.9900662251655629,0.8328690807799443,0.9050752068042092,0.9627438327889221,0.9733503846361543,0.04336545589325426,5162.0,234.0,6.0,598.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.3,0.9701666666666666,0.776332899869961,0.9884105960264901,0.8696285506190823,0.926392331204902,0.9717276706327767,0.9782675663601688,0.03187546330615271,5224.0,172.0,7.0,597.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.35,0.975,0.8084239130434783,0.9850993377483444,0.8880597014925373,0.9369942034667189,0.9760765590434319,0.9794844353678712,0.026130467012601927,5255.0,141.0,9.0,595.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.4,0.9795,0.8401697312588402,0.9834437086092715,0.9061784897025171,0.9473356664061281,0.980206531533412,0.9812511352534867,0.020941438102298,5283.0,113.0,10.0,594.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.45,0.9833333333333333,0.868421052631579,0.9834437086092715,0.922360248447205,0.9565124617889498,0.9837886961778898,0.983382343555933,0.016679021497405487,5306.0,90.0,10.0,594.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.5,0.9863333333333333,0.8954545454545455,0.9784768211920529,0.935126582278481,0.9637443641645758,0.986600432630937,0.9828447856886877,0.01278724981467754,5327.0,69.0,13.0,591.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.55,0.9881666666666666,0.9119010819165378,0.9768211920529801,0.9432454036770583,0.9683200690354777,0.9883463684350686,0.9831289058856449,0.01056338028169014,5339.0,57.0,14.0,590.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.6,0.9896666666666667,0.9261006289308176,0.9751655629139073,0.95,0.9721189591078067,0.989784634448575,0.98322770362152,0.008710155670867309,5349.0,47.0,15.0,589.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.65,0.99,0.9358974358974359,0.9668874172185431,0.9511400651465798,0.9727850344299553,0.9900721498976113,0.9797372593876259,0.007412898443291327,5356.0,40.0,20.0,584.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.7,0.9916666666666667,0.9511400651465798,0.9668874172185431,0.9589490968801314,0.9771558691597837,0.9916970112871327,0.9806638716930374,0.005559673832468495,5366.0,30.0,20.0,584.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.75,0.9923333333333333,0.9619205298013245,0.9619205298013245,0.9619205298013245,0.9788290565982161,0.9923333333333333,0.9788290565982161,0.004262416604892513,5373.0,23.0,23.0,581.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.8,0.9911666666666666,0.9725557461406518,0.9387417218543046,0.9553496208930076,0.9752240567241326,0.9910971061412577,0.967888281238494,0.0029651593773165306,5380.0,16.0,37.0,567.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.85,0.9901666666666666,0.9789103690685413,0.9221854304635762,0.9497016197783461,0.972126140082209,0.9900358569648942,0.9599807804652944,0.002223869532987398,5384.0,12.0,47.0,557.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.9,0.9878333333333333,0.9907578558225508,0.8874172185430463,0.9362445414847161,0.9647597649846427,0.987533923486584,0.9432453031188175,0.0009266123054114158,5391.0,5.0,68.0,536.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,0.95,0.9805,0.9979550102249489,0.8079470198675497,0.8929551692589204,0.941114056619925,0.979576954658914,0.9038808487032337,0.00018532246108228317,5395.0,1.0,116.0,488.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_main,main_only,0.0,1.0,0.8993333333333333,0.0,0.0,0.0,0.4734994734994735,0.8516677196677197,0.5,0.0,5396.0,0.0,604.0,0.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431
A,main_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,-0.2,0.10066666666666667,0.10066666666666667,1.0,0.18291944276196245,0.09145972138098123,0.018413890571370887,0.5,1.0,0.0,5396.0,0.0,604.0,0.9931363187840883,0.9531321995631641,0.8509933774834437,0.7483443708609272
A,main_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,-0.15,0.10066666666666667,0.10066666666666667,1.0,0.18291944276196245,0.09145972138098123,0.018413890571370887,0.5,1.0,0.0,5396.0,0.0,604.0,0.9931363187840883,0.9531321995631641,0.8509933774834437,0.7483443708609272
A,main_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,-0.1,0.10066666666666667,0.10066666666666667,1.0,0.18291944276196245,0.09145972138098123,0.018413890571370887,0.5,1.0,0.0,5396.0,0.0,604.0,0.9931363187840883,0.9531321995631641,0.8509933774834437,0.7483443708609272
A,main_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,-0.05,0.10066666666666667,0.10066666666666667,1.0,0.18291944276196245,0.09145972138098123,0.018413890571370887,0.5,1.0,0.0,5396.0,0.0,604.0,0.9931363187840883,0.9531321995631641,0.8509933774834437,0.7483443708609272
A,main_holdout,v8_semantic_multisource,main_plus_external_adapt,0.0,0.0,0.10066666666666667,0.10066666666666667,1.0,0.18291944276196245,0.09145972138098123,0.018413890571370887,0.5,1.0,0.0,5396.0,0.0,604.0,0.9931363187840883,0.9531321995631641,0.8509933774834437,0.7483443708609272
